,__id,__site_id,__title,__subtitle,__seller_id,__category_id,__official_store_id,__price,__base_price,__original_price,__currency_id,__initial_quantity,__available_quantity,__sold_quantity,__buying_mode,__listing_type_id,__start_time,__stop_time,__condition,__permalink,__thumbnail_id,__thumbnail,__secure_thumbnail,__video_id,__accepts_mercadopago,__non_mercado_pago_payment_methods,__shipping__mode,__shipping__tags,__shipping__dimensions,__shipping__local_pick_up,__shipping__free_shipping,__shipping__logistic_type,__shipping__store_pick_up,__international_delivery_mode,__seller_address__city__name,__seller_address__state__id,__seller_address__state__name,__seller_address__country__id,__seller_address__country__name,__seller_address__search_location__neighborhood__id,__seller_address__search_location__neighborhood__name,__seller_address__search_location__city__id,__seller_address__search_location__city__name,__seller_address__search_location__state__id,__seller_address__search_location__state__name,__seller_address__id,__seller_contact,__coverage_areas,__warnings,__listing_source,__variations,__status,__sub_status,__tags,__warranty,__catalog_product_id,__domain_id,__parent_item_id,__differential_pricing,__deal_ids,__automatic_relist,__date_created,__last_updated,__health,__catalog_listing,__sale_terms_0__id,__sale_terms_0__name,__sale_terms_0__value_id,__sale_terms_0__value_name,__sale_terms_0__value_struct,__sale_terms_1__id,__sale_terms_1__name,__sale_terms_1__value_id,__sale_terms_1__value_name,__sale_terms_1__value_struct__number,__sale_terms_1__value_struct__unit,__sale_terms_2__id,__sale_terms_2__name,__sale_terms_2__value_id,__sale_terms_2__value_name,__sale_terms_2__value_struct,__sale_terms_3__id,__sale_terms_3__name,__sale_terms_3__value_id,__sale_terms_3__value_name,__sale_terms_3__value_struct,__sale_terms_4,__descriptions_0__id,__descriptions_1,__shipping__free_methods_0__id,__shipping__free_methods_0__rule__default,__shipping__free_methods_0__rule__free_mode,__shipping__free_methods_0__rule__free_shipping_flag,__shipping__free_methods_0__rule__value,__shipping__free_methods_1,BRAND,MODEL,ACCESSORIES_INCLUDED,ALPHANUMERIC_MODEL,ASPECT_RATIO,COLOR,DEPTH,DISPLAY_SIZE,DISPLAY_TYPE,GTIN,HDMI_PORTS_NUMBER,HEIGHT,INTEGRATED_APPS,IS_3D,IS_CURVED,IS_PORTABLE,IS_SMART,ITEM_CONDITION,LINE,MAX_RESOLUTION,MAX_SPEAKERS_POWER,OPERATIVE_SYSTEM,PACKAGE_HEIGHT,PACKAGE_LENGTH,PACKAGE_WEIGHT,PACKAGE_WIDTH,RESOLUTION_TYPE,SELLER_SKU,SOUND_MODES,SPEAKERS_NUMBER,USB_PORTS_NUMBER,VOLTAGE,WEIGHT,WIDTH,WITH_AUTO_POWER_OFF,WITH_BLUETOOTH,WITH_ETHERNET,WITH_HDMI,WITH_HDR,WITH_HIDDEN_CABLES,WITH_SCREEN_SHARE_FUNCTION,WITH_USB,WITH_WI_FI,pictures,__sale_terms_3,INTEGRATED_VIRTUAL_ASSISTANTS,WITH_INTEGRATED_VOICE_COMMAND,__sale_terms_0__value_struct__number,__sale_terms_0__value_struct__unit,__sale_terms_1__value_struct,DISPLAY_TECHNOLOGY,ORIGIN,WITH_VOICE_COMMAND,BRIGHTNESS,CONTRAST_RATIO,EXCLUSIVE_CHANNEL,HORIZONTAL_VIEWING_ANGLE,IS_KIT,PROCESSOR_CORES_NUMBER,PRODUCT_DATA_SOURCE,PRODUCT_FEATURES,RESPONSE_TIME,SHIPMENT_PACKING,STORAGE_CAPACITY,VERTICAL_VIEWING_ANGLE,WITH_VGA,__sale_terms,__seller_address__city__id,__sale_terms_2__value_struct__number,__sale_terms_2__value_struct__unit,__sale_terms_1,ADDITIONAL_INFO_REQUIRED,__sale_terms_2,WITH_NETFLIX,WITH_WEB_BROWSER,WITH_YOUTUBE,__shipping__methods,__sale_terms_3__value_struct__number,__sale_terms_3__value_struct__unit,ORIGIN_COUNTRY,MANUFACTURING_TIME,__variations_0__id,__variations_0__price,__variations_0__attribute_combinations,__variations_0__available_quantity,__variations_0__sold_quantity,__variations_0__sale_terms,__variations_0__picture_ids,__variations_0__catalog_product_id,__variations_1,__descriptions,VIEWING_ANGLE,IS_FLAMMABLE,DESIGN_AND_FUNCTIONALITY,COUNTRIES_WITH_MAGIC_CONTROL_INCLUDED,PART_NUMBER
0,MLA898844422,MLA,Smart Tv Samsung Series 7 Un50tu7000gczb Led 4k 50  220v - 240v,,608846165,MLA1002,1938,60299.0,60299.0,,ARS,2157,150,500,buy_it_now,gold_pro,2020-11-26T11:32:46.000Z,2041-01-26T14:57:31.000Z,new,https://articulo.mercadolibre.com.ar/MLA-898844422-smart-tv-samsung-series-7-un50tu7000gczb-led-4k-50-220v-240v-_JM,878604-MLA44160072739_112020,http://http2.mlstatic.com/D_878604-MLA44160072739_112020-I.jpg,https://http2.mlstatic.com/D_878604-MLA44160072739_112020-I.jpg,,True,[],me2,['mandatory_free_shipping'],,False,True,fulfillment,False,none,Villa Celina,AR-B,Buenos Aires,AR,Argentina,TVhYVmlsbGEgQ2VsaW5hVFV4QlEweEJUV0YwW,Villa Celina,TUxBQ0xBTWF0YW56,La Matanza,TUxBUEdSQWVmNTVm,Bs.As. G.B.A. Oeste,1118245173,,[],[],,[],active,[],"['ahora-12', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment']",Garantía de fábrica: 12 meses,MLA16233171,MLA-TELEVISIONS,,,[],False,2020-11-26T11:32:46.000Z,2021-03-11T19:56:56.665Z,,True,INVOICE,Facturación,6891885,Factura A,,WARRANTY_TIME,Tiempo de garantía,,12 meses,12.0,meses,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,PURCHASE_MAX_QUANTITY,Cantidad máxima de compra,,2,,,MLA898844422-3071442651,,73328.0,True,country,True,,,Samsung,UN50TU7000,"Control remoto,Cable de alimentación",UN50TU7000GCZB,16:9,Negro,5.99 cm,"50 """,LED,8806090484414,2,64.42 cm,"Web browser,Netflix,Youtube,Google Apps,Prime Video,Apple TV,Hulu,Disney+,Vudu",No,No,No,Sí,Nuevo,Series 7,3840 px - 2160 px,20 W,Tizen,69 cm,25 cm,16000 g,69 cm,4K,502261,Dolby digital pulse,2,1,220V - 240V,11.4 kg,111.68 cm,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MLA877443014,MLA,Smart Tv Rca X55andtv Led 4k 55  100v/240v,,69541508,MLA1002,,55499.0,55499.0,,ARS,7,1,5,buy_it_now,gold_special,2020-09-08T18:33:11.000Z,2040-09-03T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-877443014-smart-tv-rca-x55andtv-led-4k-55-100v240v-_JM,752157-MLA40931045887_022020,http://http2.mlstatic.com/D_752157-MLA40931045887_022020-I.jpg,https://http2.mlstatic.com/D_752157-MLA40931045887_022020-I.jpg,,True,[],me2,"['self_service_out', 'mandatory_free_shipping']",,False,True,cross_docking,False,none,Parque Patricios,AR-C,Capital Federal,AR,Argentina,TUxBQlBBUjYwMzZa,Parque Patricios,TUxBQ0NBUGZlZG1sYQ,Capital Federal,TUxBUENBUGw3M2E1,Capital Federal,921768086,,[],[],,[],active,[],"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA15284465,MLA-TELEVISIONS,,,[],False,2020-09-08T18:33:11.000Z,2021-03-11T16:30:24.062Z,,True,INVOICE,Facturación,6891885,Factura A,,WARRANTY_TIME,Tiempo de garantía,,12 meses,12.0,meses,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,,,,,,MLA877443014-2906562541,,73328.0,True,country,True,,,RCA,X55ANDTV,"Control remoto,Baterías,Cable de alimentación",X55ANDTV,16:9,Negro,7.79 cm,"55 """,LED,7796941250354,3,72.17 cm,,No,No,No,Sí,Nuevo,Smart,3840 px - 2160 px,16 W,Android TV,,,,,4K,46649,"Dolby digital,MTS",2,1,100V/240V,12 kg,124.39 cm,,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,2,,Google Assistant,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MLA899355775,MLA,Smart Tv Tcl L50p8m Led 4k 50  100v/240v,,147257166,MLA1002,,49490.0,49490.0,,ARS,11,1,5,buy_it_now,gold_special,2020-11-30T12:57:18.000Z,2040-11-25T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-899355775-smart-tv-tcl-l50p8m-led-4k-50-100v240v-_JM,862772-MLA40527019658_012020,http://http2.mlstatic.com/D_862772-MLA40527019658_012020-I.jpg,https://http2.mlstatic.com/D_862772-MLA40527019658_012020-I.jpg,,True,[],me2,['mandatory_free_shipping'],,True,True,drop_off,False,none,Córdoba,AR-X,Córdoba,AR,Argentina,,,TUxBQ0NBUGNiZGQx,Córdoba,TUxBUENPUmFkZGIw,Córdoba,119995259,,[],[],,[],active,[],"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA15233098,MLA-TELEVISIONS,,,[],False,2020-11-30T12:57:19.000Z,2021-03-11T19:13:35.858Z,,True,WARRANTY_TIME,Tiempo de garantía,,12 meses,,INVOICE,Facturación,6891885,Factura A,,,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,,,,,,MLA899355775-3078231464,,73328.0,True,country,True,,,TCL,L50P8M,"Control remoto,Baterías,Cable de alimentación",,16:9,,25.1 cm,"50 """,LED,7796941327957,3,71 cm,"Youtube,Netflix,Web browser",,,,Sí,Nuevo,,3840 px - 2160 px,8 W,Android TV,,,,,4K,17706,Dolby audio,2,1,100V/240V,10 kg,112.1 cm,,Sí,Sí,Sí,Sí,,,Sí,Sí,2,,Google Assistant,Sí,12.0,meses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MLA877436109,MLA,Smart Tv Tedge Ntv504k Led 4k 50  220v,,417972986,MLA1002,1824,48999.0,48999.0,53999,ARS,2131,500,500,buy_it_now,gold_pro,2020-09-08T17:52:37.000Z,2040-09-03T12:11:36.000Z,new,https://articulo.mercadolibre.com.ar/MLA-877436109-smart-tv-tedge-ntv504k-led-4k-50-220v-_JM,774646-MLA43196387330_082020,http://http2.mlstatic.com/D_774646-MLA43196387330_082020-I.jpg,https://http2.mlstatic.com/D_774646-MLA43196387330_082020-I.jpg,,True,[],me2,['mandatory_free_shipping'],,False,True,fulfillment,False,none,Villa Celina,AR-B,Buenos Aires,AR,Argentina,TVhYVmlsbGEgQ2VsaW5hVFV4QlEweEJUV0YwW,Villa Celina,TUxBQ0xBTWF0YW56,La Matanza,TUxBUEdSQWVmNTVm,Bs.As. G.B.A. Oeste,1055269304,,[],[],,[],active,[],"['ahora-12', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",Garantía del vendedor: 1 años,MLA15998081,MLA-TELEVISIONS,,,"['MLA4186', 'MLA2068']",False,2020-09-08T17:52:38.000Z,2021-03-11T14:55:01.440Z,,True,WARRANTY_TIME,Tiempo de garantía,,1 años,,WARRANTY_TYPE,Tipo de garantía,2230280,Garantía del vendedor,,,INVOICE,Facturación,6891885,Factura A,,,,,,,,MLA877436109-2906479363,,73328.0,True,country,True,,,Tedge,NTV504K,"Control remoto,Baterías,Cable de alimentación",NTV504K,16:9,Negro,195 mm,"50 """,LED,7796962986270,3,61.4 cm,"Youtube,Netflix,Web browser",No,No,No,Sí,Nuevo,Led 50 pulgadas,3840 px - 2160 px,8 W,Linux,68 cm,24 cm,11000 g,68 cm,4K,38942,"Standard,Teatro,Música,Diálogo,Nocturno",2,2,220V,11.5 kg,112.5 cm,Sí,No,Sí,Sí,Sí,,Sí,Sí,Sí,5,,,,1.0,años,,LED,Argentina,No,300 cd/m²,4000:1,Mercado Libre,177°,No,4,,"Frágil,Voluminoso",8 ms,Auto-despachable,1.5 GB,177°,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MLA903854059,MLA,Smart Tv Samsung Series 7 Un43tu7000gczb Led 4k 43  220v - 240v,,185359901,MLA1002,1213,55999.0,55999.0,,ARS,7,1,2,buy_it_now,gold_special,2021-01-11T17:52:57.000Z,2041-01-06T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-903854059-smart-tv-samsung-series-7-un43tu7000gczb-led-4k-43-220v-240v-_JM,926936-MLA44160072891_112020,http://http2.mlstatic.com/D_926936-MLA44160072891_112020-I.jpg,https://http2.mlstatic.com/D_926936-MLA44160072891_112020-I.jpg,,True,[],me2,['mandatory_free_shipping'],,True,True,cross_docking,True,none,San Vicente,AR-B,Buenos Aires,AR,Argentina,,,TUxBQ1NBTjc3NjQ,San Vicente,TUxBUFpPTmFpbnRl,Buenos Aires Interior,1036450975,,[],[],,[],active,[],"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",,MLA16234225,MLA-TELEVISIONS,,,[],False,2021-01-11T17:52:58.000Z,2021-03-11T17:50:50.000Z,,True,,,,,,,,,,,,,,,,,,,,,,,MLA903854059-3157191088,,73328.0,True,country,True,,,Samsung,UN43TU7000,"Control remoto,Cable de alimentación",UN43TU7000GCZB,16:9,,5.96 cm,"43 """,LED,8806090484391,2,55.89 cm,"Web browser,Netflix,Youtube,Google Apps,Prime Video,Apple TV,Hulu,Disney+,Vudu",,,,Sí,Nuevo,Series 7,3840 px - 2160 px,20 W,Tizen,,,,,4K,41409,Dolby digital plus,2,1,220V - 240V,8.1 kg,96.39 cm,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,7,,,Sí,,,,,,,,,,,,,,,,,,,,[],TUxBQ1NBTjc3NjQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MLA884449357,MLA,Philips Smart Tv 4k Borderless 55pud6654/77,,608846165,MLA1002,1938,69999.0,69999.0,,ARS,128,1,100,buy_it_now,gold_pro,2020-10-19T13:17:57.000Z,2040-11-19T12:21:42.000Z,new,https://articulo.mercadolibre.com.ar/MLA-884449357-philips-smart-tv-4k-borderless-55pud665477-_JM,921534-MLA44663600795_012021,http://http2.mlstatic.com/D_921534-MLA44663600795_012021-I.jpg,https://http2.mlstatic.com/D_921534-MLA44663600795_012021-I.jpg,,True,[],me2,['mandatory_free_shipping'],,False,True,fulfillment,False,none,Villa Celina,AR-B,Buenos Aires,AR,Argentina,TVhYVmlsbGEgQ2VsaW5hVFV4QlEweEJUV0YwW,Villa Celina,TUxBQ0xBTWF0YW56,La Matanza,TUxBUEdSQWVmNTVm,Bs.As. G.B.A. Oeste,1118245173,,[],[],,[],active,[],"['catalog_product_candidate', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'ahora-12', 'brand_verified', 'immediate_payment']",Garantía de fábrica: 12 meses,MLA17325856,MLA-TELEVISIONS,,,[],False,2020-10-19T13:17:57.000Z,2021-03-10T18:03:48.000Z,1,False,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,WARRANTY_TIME,Tiempo de garantía,,12 meses,12.0,meses,PURCHASE_MAX_QUANTITY,Cantidad máxima de compra,,2,,,,,,,,MLA884449357-2989803689,,73328.0,True,country,True,,,Philips,55PUD6654,"Control remoto,Baterías,Cable de alimentación,Soporte para la mesa",55PUD6654/77,16:9,Gris,86.6 mm,"55 """,LED,8718863026113,3,718.8 mm,"Netflix,Youtube,Prime Video",No,No,No,Sí,Nuevo,Series 6000,3840 px - 2160 px,20 W,Saphi,69 cm,39 cm,17000 g,69 cm,4K,502109,Dolby atmos,2,2,110V/240V,11.43 kg,1226.8 mm,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,4,,,,,,,,,,,,,,,4,,"Frágil,Sin vencimiento",,Auto-despachable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MLA841245044,MLA,Smart Tv Rca X50andtv Led 4k 50  100v/240v,,69541508,MLA1002,,46499.0,46499.0,,ARS,42,1,5,buy_it_now,gold_special,2020-02-27T19:47:31.000Z,2040-02-22T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-841245044-smart-tv-rca-x50andtv-led-4k-50-100v240v-_JM,655406-MLA40777106272_022020,http://http2.mlstatic.com/D_655406-MLA40777106272_022020-I.jpg,https://http2.mlstatic.com/D_655406-MLA40777106272_022020-I.jpg,,True,[],me2,"['self_service_out', 'mandatory_free_shipping']",,False,True,cross_docking,False,none,Parque Patricios,AR-C,Capital Federal,AR,Argentina,TUxBQlBBUjYwMzZa,Parque Patricios,TUxBQ0NBUGZlZG1sYQ,Capital Federal,TUxBUENBUGw3M2E1,Capital Federal,921768086,,[],[],,[],active,[],"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA15192832,MLA-TELEVISIONS,,,[],False,2020-02-27T19:47:31.000Z,2021-03-11T18:39:21.488Z,,True,INVOICE,Facturación,6891885,Factura A,,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,WARRANTY_TIME,Tiempo de garantía,,12 meses,,,,,,,,MLA841245044-2539465877,,73328.0,True,country,True,,,RCA,X50ANDTV,"Control remoto,Cable de alimentación",,16:9,Negro,7.5 cm,"50 """,LED,7796941250361,3,65.3 cm,"Youtube,Netflix,Web browser",No,No,No,Sí,Nuevo,,3840 px - 2160 px,16 W,Android TV,,,,,4K,45751,"Dolby digital,Stereo",2,2,100V/240V,10 kg,112.7 cm,,Sí,Sí,Sí,Sí,,,Sí,Sí,3,,Google Assistant,Sí,,,,,,,,16:9,,,,,,,,,,,,,,12.0,meses,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MLA902091493,MLA,Smart Tv Noblex X7 Series Dm50x7500 Led 4k 50  220v,,142125695,MLA1002,,45700.0,45700.0,,ARS,38,1,25,buy_it_now,gold_special,2020-12-23T16:28:47.000Z,2040-12-18T04:00:00.000Z,new,https://articulo.mercadolibre.com.ar/MLA-902091493-smart-tv-noblex-x7-series-dm50x7500-led-4k-50-220v-_JM,871135-MLA43970540731_112020,http://http2.mlstatic.com/D_871135-MLA43970540731_112020-I.jpg,https://http2.mlstatic.com/D_871135-MLA43970540731_112020-I.jpg,,True,[],me2,"['self_service_in', 'mandatory_free_shipping']",,True,True,cross_docking,False,none,Monte Castro,AR-C,Capital Federal,AR,Argentina,TUxBQk1PTjE2OTBa,Monte Castro,TUxBQ0NBUGZlZG1sYQ,Capital Federal,TUxBUENBUGw3M2E1,Capital Federal,136800287,,[],[],,[],active,[],"['brand_verified', 'catalog_boost', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",,MLA16174688,MLA-TELEVISIONS,,,[],False,2020-12-23T16:28:47.000Z,2021-03-11T19:13:45.115Z,,True,INVOICE,Facturación,6891885,Factura A,,,,,,,,,,,,,,,,,,,MLA902091493-3120769006,,73328.0,True,country,True,,,Noblex,DM50X7500,"Control remoto,Cable de alimentación",DM50X7500,16:9,,15.2 cm,"50 """,LED,7796962987703,2,78.3 cm,"Youtube,Netflix,Web browser",No,No,Sí,Sí,Nuevo,X7 Series,3840 px - 2160 px,16 W,,,,,,4K,91DM50X7500,,2,2,220V,15 kg,125 cm,,Sí,Sí,Sí,No,,,Sí,Sí,3,,,,,,,,,,200 cd/m²,4000:1,,,,,,,8 ms,,,,,,TUxBQk1PTjE2OTBa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MLA874755609,MLA,Smart Tv Philips 6600 Series 50pug6654/78 Led 4k 50  110v/240v,,102145702,MLA1002,,51700.0,51700.0,,ARS,30,1,25,buy_it_now,gold_special,2020-08-23T15:07:19.000Z,2040-09-02T15:37:51.000Z,new,https://articulo.mercadolibre.com.ar/MLA-874755609-smart-tv-philips-6600-series-50pug665478-led-4k-50-110v240v-_JM,704243-MLA41528601170_042020,http://http2.mlstatic.com/D_704243-MLA41528601170_042020-I.jpg,https://http2.mlstatic.com/D_704243-MLA41528601170_042020-I.jpg,,True,[],me2,"['self_service_out', 'mandatory_free_shipping']",,False,True,fulfillment,False,none,Palermo,AR-C,Capital Federal,AR,Argentina,TUxBQlBBTDI1MTVa,Palermo,TUxBQ0NBUGZlZG1sYQ,Capital Federal,TUxBUENBUGw3M2E1,Capital Federal,145799889,,[],[],,[],active,[],"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",Garantía de fábrica: 12 meses,MLA15581928,MLA-TELEVISIONS,,,[],False,2020-08-23T15:07:19.000Z,2021-03-11T11:25:53.652Z,,True,INVOICE,Facturación,6891885,Factura A,,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,WARRANTY_TIME,Tiempo de garantía,,12 meses,,,,,,,,MLA874755609-2872279641,,73328.0,True,country,True,,,Philips,50PUG6654,"Control remoto,Baterías,Cable de alimentación",50PUG6654/78,16:9,,8.72 cm,"50 """,LED,8718863021613,3,65.06 cm,"Youtube,Netflix,Web browser",,,,Sí,Nuevo,6600 Series,3840 px - 2160 px,20 W,Saphi,58 cm,68 cm,9860 g,18 cm,4K,6000-00011-0004,Dolby atmos,2,2,110V/240V,10.9 kg,111.3 cm,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,5,,,,,,,,,,,,,,,4,,Frágil,,Auto-despachable,,,,,TUxBQlBBTDI1MTVa,12.0,meses,,Tiene número de serie,,,,,,,,,,,,,,,,,,,,,,,,
9,MLA848016039,MLA,Smart Tv LG Ai Thinq 50um7360psa Led 4k 50  100v/240v,,179579764,MLA1002,308,70600.0,70600.0,,ARS,58,50,0,buy_it_now,gold_pro,2020-04-08T18:18:51.000Z,2040-08-27T14:07:32.000Z,new,https://articulo.mercadolibre.com.ar/MLA-848016039-smart-tv-lg-ai-thinq-50um7360psa-led-4k-50-100v240v-_JM,713030-MLA43250571892_082020,http://http2.mlstatic.com/D_713030-MLA43250571892_082020-I.jpg,https://http2.mlstatic.com/D_713030-MLA43250571892_082020-I.jpg,,True,[],me2,['mandatory_free_shipping'],,True,True,drop_off,False,none,Junín,AR-B,Buenos Aires,AR,Argentina,,,TUxBQ0pVTjE5NjM,Junín,TUxBUFpPTmFpbnRl,Buenos Aires Interior,159710747,,[],[],,[],active,[],"['ahora-12', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment']",Garantía de fábrica: 12 meses,MLA15283793,MLA-TELEVISIONS,,,[],False,2020-04-08T18:18:52.000Z,2021-03-11T14:53:28.161Z,,True,WARRANTY_TIME,Tiempo de garantía,,12 meses,,INVOICE,Facturación,6891885,Factura A,,,WARRANTY_TYPE,Tipo de garantía,2230279,Garantía de fábrica,,,,,,,,MLA848016039-2604082873,,73328.0,True,country,True,,,LG,50UM7360,"Control remoto,Baterías,Cable de alimentación",50UM7360PSA,16:9,,23.1 cm,"50 """,LED,7893299911873,3,72.2 cm,"Youtube,Netflix,Web browser",No,No,No,Sí,Nuevo,AI ThinQ,3840 px - 2160 px,20 W,webOS,,,,,4K,504350,DTS virtual:X,2,2,100V/240V,11.5 kg,113 cm,,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,6,,,Sí,12.0,meses,,IPS,,,360 cd/m²,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
